gain,alpha
0.21,-0.10072454445828191
0.2175421322647177,-0.1043391969312207
0.2253551395727615,-0.10808345599319488
0.23344875037843613,-0.11196196038069593
0.24183304253266102,-0.11597951420044908
0.2505184558315201,-0.12014109277246623
0.2595158050154923,-0.12445184867517146
0.2688362932355472,-0.12891711799921213
0.2784915260028753,-0.1335424268167283
0.2884935256396217,-0.13833349787303034
0.29885474624861574,-0.1432962575078402
0.30958808922073816,-0.14843684281339342
0.3207069192992334,-0.1537616090369089
0.3322250812209713,-0.15927713723508727
0.34415691695537665,-0.1649902421884835
0.35651728356249524,-0.17090798058375983
0.36932157169242946,-0.1770376594719934
0.38258572474918046,-0.18338684501136288
0.3963262587427575,-0.18996337150269407
0.41056028285427465,-0.1967753507264746
0.42530552073964045,-0.2038311815900622
0.440580332598369,-0.21113956009394813
0.45640373803498896,-0.21870948962599557
0.4727954397415196,-0.2265502915926622
0.4897758480305,-0.23467161639625178
0.5073661062491205,-0.24308345476725915
0.5255881171060998,-0.2517961494608497
0.5444645699440908,-0.2608204073264596
0.5640189689915716,-0.2701673117593986
0.5842756626294007,-0.27984833554317756
0.6052598737084791,-0.28987535409106757
0.626997730956268,-0.30026065909511
0.6495163015112682,-0.3110169725904402
0.6728436246259739,-0.3221574614422864
0.697008746580265,-0.3336957522625079
0.72204175684871,-0.3456459467617674
0.747973825566815,-0.3580226375426726
0.7748372423428711,-0.3708409243381781
0.8026654564637237,-0.38411643069839574
0.8314931185445301,-0.3978653211275447
0.8613561236743654,-0.41210431867116115
0.8922916561113967,-0.4268507229517532
0.9243382355832829,-0.4421224286488231
0.957535765250449,-0.4579379444166245
0.9919255813919563,-0.47431641222986626
1.0275505048758375,-0.4912776271441429
1.045875368768027,-0.49999999999999956
1.064454894477985,-0.5088420574536128
1.1026847021159807,-0.5270308652237579
1.1422875300666449,-0.5458659271714021
1.183312690238551,-0.5653698558577083
1.2258112655733036,-0.5855660211523703
1.2698361736520405,-0.6064785719183942
1.3154422325863582,-0.6281324578567793
1.3626862292757,-0.6505534514384517
1.411626990116208,-0.6737681698370801
1.4623254542490733,-0.6978040967602621
1.5148447494395967,-0.7226896040577558
1.5692502706814369,-0.7484539729634578
1.6256097616239293,-0.7751274148020457
1.6839933989238525,-0.8027410909609815
1.744473879626686,-0.8313271318930112
1.8071265116861606,-0.8609186548724581
1.872029307734803,-0.8915497801791443
1.939263082222249,-0.923255645325308
2.008911552042269,-0.9560724168715262
2.081061440773803,-0.9900372992950865
2.155802586665802,-1.0251885402759893
2.233228054500345,-1.0615654316479466
2.313434251473296,-1.0992083051207562
2.396521047236818,-1.1381585217104566
2.4825918982531983,-1.1784584536087186
2.571753976614827,-1.220151456974372
2.664118303490744,-1.2632818338278886
2.759799887365899,-1.307894780860892
2.8589178672452626,-1.3540363225206953
2.961595661001111,-1.401753225173989
3.06796111904818,-1.451092888466364
3.178146683538049,-1.5021032091414686
3.29228955327099,-1.55483241151996
3.4105318545306007,-1.6093288375056656
3.533020818053946,-1.665640687308719
3.6599089623575827,-1.7238156999524081
3.79135428364771,-1.7839007599305612
3.927520452550923,-1.845941412930464
4.068577017910554,-1.909981269100131
4.214699617902327,-1.9760612666074906
4.366070198732205,-2.0442187607961797
4.522877241188777,-2.114486394529173
4.685315995332241,-2.186890692575629
4.853588723612206,-2.261450306129863
5.0,-2.325928543108266
5.027904952717089,-2.3381738114089377
5.20848173446862,-2.4170569369788053
5.25,-2.4351027832571677
5.395543916086373,-2.4980790557086205
5.5,-2.5429916058352022
5.58932442015883,-2.581198726173998
5.75,-2.6494357341360395
5.7900645346695665,-2.666348001576275
5.998014213439702,-2.7534251384751993
6.0,-2.754250742352036
6.213432387360743,-2.8422852308889155
6.25,-2.8572227596726423
6.436587286805293,-2.932728170366696
6.44533,-2.936235584410994
6.4797082535399255,-2.950000000000003
6.5,-2.958103632306086
6.667756775617128,-3.0244832044820127
6.75,-3.0566056654406113
6.9072286970965155,-3.1171892779059243
7.0,-3.152396242455427
7.155301232411544,-3.210370394685391
7.25,-3.2450929078366393
7.4122832718817575,-3.303405659091152
7.5,-3.334259945893338
7.678494799596453,-3.3954948714490367
7.75,-3.419408117635893
7.95426729184647,-3.4856233402582597
8.0,-3.5000000000000027
8.239944129865629,-3.572535020231724
8.25,-3.5754641227533015
8.5,-3.645221367339648
8.535881027395773,-3.6547320780077617
8.75,-3.7087260894398697
8.842446473607742,-3.7305301430577695
9.0,-3.765521227489631
9.160022191929816,-3.798203889046439
9.25,-3.8153009489160254
