gain,peak,time
5.0,1.1098737389564404,0.1702141946884336
5.05,1.1090883939764287,0.16864030703091848
5.1,1.1083474724279543,0.16710961987249848
5.15,1.1076492194628913,0.1656206396792618
5.2,1.1069919616104522,0.16417192706375688
5.25,1.1063741024942766,0.16276209489712395
5.3,1.1057941187932603,0.16138980647536744
5.35,1.1052505564315718,0.1600537737394864
5.4,1.1047420269842643,0.158752755549023
5.45,1.104267204285697,0.15748555600843456
5.5,1.1038248212287292,0.1562510228455795
5.55,1.1034136667434324,0.15504804584149606
5.6,1.103032582944709,0.1538755553105769
5.65,1.1026804624388562,0.15273252063016715
5.7,1.102356245779756,0.15161794881855215
5.75,1.102058919065857,0.15053088316028485
5.8,1.1017875116697469,0.14947040187771227
5.85,1.101541094092533,0.14843561684760614
5.9,1.1013187759357446,0.14742567236172657
5.95,1.1011197039839347,0.146439743930172
6.0,1.1009430603915282,0.1454770371263458
6.05,1.1007880609678795,0.14453678647238147
6.1,1.100653953554866,0.14361825436386472
6.15,1.100540016491661,0.1427207300327029
6.2,1.100445557161691,0.14184352854700352
6.25,1.1003699106170366,0.14098598984683428
6.3,1.1003124382758553,0.14014747781475637
6.35,1.1002725266886626,0.1393273793800402
6.4,1.100249586369521,0.13852510365548706
6.405,1.1002482037498396,0.13844583422437465
6.41,1.1002469846041711,0.13836673675002178
6.415,1.1002459283803019,0.13828781067643736
6.42,1.1002450345281758,0.13820905544966872
6.425000000000001,1.1002443024998865,0.1381304705177949
6.430000000000001,1.1002437317496683,0.13805205533091797
6.4350000000000005,1.1002433217338838,0.1379738093411559
6.44,1.1002430719110148,0.13789573200263464
6.445,1.100242981741654,0.1378178227714801
6.44533,1.1002429813937384,0.1378126866627659
6.45,1.1002430506884915,0.13774008110581087
6.455,1.10024327821631,0.1376625064657311
6.46,1.100243663791971,0.137585098313322
6.465,1.100244206884405,0.13750785611263464
6.47,1.100244906964608,0.13743077932968256
6.475,1.1002457635056226,0.13735386743243405
6.4797082535399255,1.1002467126306097,0.13728159354969158
6.48,1.1002467759825356,0.137277119890805
6.485,1.100247943872467,0.13720053617665137
6.49,1.1002492666545571,0.1371241157637612
6.495,1.1002507438099636,0.13704785812784806
6.5,1.1002523748218458,0.1369717627465431
6.505,1.1002541591753587,0.13689582909938808
6.51,1.1002560963576433,0.13682005666782812
6.515,1.1002581858578178,0.13674444493520377
6.52,1.100260427166968,0.1366689933867445
6.5249999999999995,1.1002628197781374,0.1365937015095612
6.53,1.10026536318632,0.13651856879263877
6.535,1.1002680568884493,0.13644359472682965
6.54,1.100270900383393,0.13636877880484563
6.545,1.100273893171938,0.13629412052125162
6.55,1.1002770347567874,0.1362196193724584
6.555,1.1002803246425492,0.13614527485671504
6.56,1.1002837623357278,0.13607108647410238
6.5649999999999995,1.1002873473447143,0.1359970537265261
6.569999999999999,1.1002910791797802,0.13592317611770938
6.574999999999999,1.1002949573530671,0.13584945315318586
6.58,1.1002989813785784,0.13577588434029336
6.585,1.1003031507721708,0.13570246918816622
6.59,1.100307465051546,0.13562920720772925
6.595,1.1003119237362429,0.13555609791168985
6.6,1.1003165263476267,0.13548314081453208
6.65,1.1003703644204987,0.1347618352244699
6.7,1.1004380819239334,0.13405522838587175
6.75,1.1005192291226988,0.13336286305111486
6.8,1.1006133728325314,0.13268429830306747
6.85,1.100720095693476,0.13201910894076757
6.9,1.1008389954797102,0.13136688488822365
6.95,1.1009696844438457,0.1307272306255197
7.0,1.1011117886938189,0.13009976464143821
7.050000000000001,1.101264947600581,0.1294841189068069
7.1,1.101428813234928,0.1288799383678588
7.15,1.1016030498318794,0.12828688045884878
7.2,1.1017873332811177,0.1277046146332349
7.25,1.1019813506421037,0.12713282191275366
7.300000000000001,1.1021847996825085,0.12657119445371712
7.35,1.1023973884387703,0.12601943512990327
7.4,1.1026188347975505,0.1254772571314203
7.45,1.1028488660970128,0.12494438357895138
7.5,1.1030872187468768,0.12442054715280036
7.550000000000001,1.103333637866244,0.12390548973618624
7.6,1.1035878769382912,0.12339896207224596
7.65,1.1038496974809384,0.12290072343422838
7.7,1.1041188687326606,0.12241054130837789
7.75,1.1043951673526837,0.12192819108902557
7.800000000000001,1.1046783771348003,0.12145345578541336
7.85,1.1049682887341232,0.12098612573983075
7.9,1.1052646994061217,0.12052599835657314
7.95,1.105567412757307,0.12007287784137455
8.0,1.1058762385069882,0.11962657495085668
8.05,1.1061909922595456,0.11918690675163288
8.1,1.1065114952866837,0.11875369638868748
8.15,1.1068375743191903,0.1183267728626688
8.2,1.1071690613477017,0.11790597081575331
8.25,1.1075057934320636,0.11749113032574247
8.3,1.1078476125188415,0.11708209670807584
8.35,1.1081943652665962,0.11667872032544852
8.4,1.1085459028785487,0.11628085640473743
8.45,1.1089020809422725,0.11588836486094953
8.5,1.109262759276074,0.11550111012791768
8.55,1.1096278017817598,0.11511896099547901
8.6,1.1099970763034646,0.11474179045288295
8.65,1.110370454492266,0.11436947553818234
8.7,1.1107478116763145,0.11400189719337486
8.75,1.1111290267362195,0.11363894012506744
8.8,1.1115139819854425,0.11328049267044714
8.85,1.1119025630554753,0.11292644666835025
8.9,1.1122946587855733,0.11257669733522865
8.95,1.1126901611168474,0.1122311431458209
9.0,1.1130889649905007,0.11188968571834418
9.05,1.1134909682500354,0.11155222970402733
9.100000000000001,1.1138960715472528,0.11121868268081672
9.15,1.1143041782518583,0.11088895505108932
9.2,1.114715194364537,0.1105629599432159
9.25,1.1151290284333235,0.11024061311682418
9.3,1.1155455914731374,0.1099218328716157
9.350000000000001,1.1159647968883335,0.1096065399595964
9.4,1.1163865603981469,0.10929465750058968
9.45,1.1168107999648993,0.10898611090090037
9.5,1.1172374357248473,0.10868082777500825
9.55,1.1176663899215702,0.10837873787017206
9.600000000000001,1.118097586841775,0.10807977299382987
9.65,1.118530952753432,0.10778386694368694
9.7,1.1189664158461203,0.10749095544038739
9.75,1.1194039061735197,0.10720097606266629
9.8,1.1198433555979377,0.106913868184889
9.850000000000001,1.120284697736794,0.10662957291688195
9.9,1.1207278679109798,0.10634803304596809
9.95,1.1211728030950305,0.10606919298112016
10.0,1.1216194418690115,0.10579299869915124
10.05,1.1220677243720651,0.10551939769286081
10.100000000000001,1.1225175922575563,0.10524833892106553
10.15,1.1229689886497374,0.10497977276043716
10.2,1.1234218581018813,0.10471365095908156
10.25,1.1238761465558273,0.10444992659178966
10.3,1.1243318013028738,0.10418855401689775
10.350000000000001,1.1247887709459774,0.10392948883469445
10.4,1.1252470053632004,0.10367268784731566
10.45,1.1257064556723582,0.10341810902006986
10.5,1.1261670741968204,0.1031657114441411
10.55,1.1266288144324315,0.10291545530061459
10.600000000000001,1.1270916310154906,0.10266730182577685
10.65,1.1275554796917664,0.10242121327764127
10.7,1.128020317286499,0.10217715290365224
10.75,1.1284861016753585,0.10193508490952399
10.8,1.128952791756316,0.10169497442917144
10.850000000000001,1.1294203474224018,0.10145678749569127
10.9,1.1298887295353168,0.1012204910133538
10.95,1.130357899899856,0.10098605273056929
11.0,1.1308278212391318,0.10075344121378955
11.05,1.1312984571705578,0.10052262582231247
11.100000000000001,1.131769772182556,0.10029357668395472
11.15,1.1322417316119884,0.10006626467155959
11.2,1.1327143016222603,0.09984066138031097
11.25,1.1331874491820852,0.09961673910582128
11.3,1.1336611420448877,0.099394470822967
11.350000000000001,1.1341353487288173,0.09917383016544265
11.4,1.1346100384973548,0.09895479140600683
11.45,1.1350851813404923,0.098737329437397
11.5,1.13556074795646,0.09852141975388486
11.55,1.1360367097339938,0.09830703843345301
11.600000000000001,1.13651303873511,0.09809416212056683
11.65,1.1369897076783824,0.09788276800952211
11.7,1.137466689922697,0.09767283382834678
11.75,1.1379439594514775,0.09746433782323582
11.8,1.138421490857348,0.09725725874350277
11.850000000000001,1.1388992593272427,0.09705157582702544
11.9,1.139377240627926,0.09684726878617189
11.95,1.139855411091926,0.09664431779418627
12.0,1.1403337476038538,0.09644270347202027
