gain,time,fast_time,peak
10,0.1057929986991511714924902965395010276102225250769565313,1.0579299869915117149249029653950102761022252507695653130,1.121619441869011277503496431797682573357576236363389304
50,0.04365195957063829853833107729398975814685131596754712842,2.18259797853191492691655386469948790734256579837735642100,1.359588321772659956521402486939033142701088741628119006
100,0.02766433194950199344554149798243494278276536875190069938,2.76643319495019934455414979824349427827653687519006993800,1.455161227782789284300581560940694519346792286141622771
1000,0.004912638715823817326434128418892438792293244354269664147,4.912638715823817326434128418892438792293244354269664147000,1.611889800622629001441266882591855205381293493416060734
