metric,gain,peak_witness,time_witness,alpha,gamma,predicted_peak,predicted_time
normalized,50.0,1.3595883217726596,0.043651959570638374,-3.311620518805254,1.6492422502470645,1.3744572690448214,0.037643934767475906
normalized,52.35706099922902,1.3666265801688045,0.0424023802912033,-3.2928803930147086,1.6492422502470645,1.3798427342651112,0.03682904473556227
normalized,57.58357694875544,1.3808917260693576,0.039908926009891016,-3.2586927872187497,1.6492422502470645,1.3911755585528982,0.03513868440954262
normalized,63.33182709132713,1.3947619324726195,0.03753208474366932,-3.229491572582315,1.6492422502470645,1.4026704991397585,0.03345177031339453
normalized,69.65389326708787,1.4082103055082227,0.03526959197401461,-3.2042897246317423,1.6492422502470645,1.4142047663894164,0.03178160222444383
normalized,76.60705635835471,1.4212156151850455,0.03311883203035318,-3.182365628103403,1.6492422502470645,1.4256765248924503,0.030139037247557836
normalized,84.25431528125542,1.433761785413406,0.031076894561754467,-3.16317234055678,1.6492422502470645,1.437002101241099,0.028532823663654092
normalized,92.66495778543253,1.4458373963416835,0.029140628039361065,-3.1462836625491173,1.6492422502470645,1.4481135260480333,0.026969894298345242
normalized,100.0,1.4551612277827872,0.027664331949502553,-3.1341926501282,1.6492422502470645,1.4568182023262797,0.02575343918933741
normalized,101.91518823352597,1.4574352050121937,0.027306689308409345,-3.1313601226265138,1.6492422502470645,1.4589563725370975,0.025455624008670342
normalized,112.08881804841101,1.4685516885332874,0.02557158872350595,-3.118126491736718,1.6492422502470645,1.4694878581190043,0.023994055384683296
normalized,123.27802508396658,1.4791866125421413,0.023931730731892316,-3.106356342623273,1.6492422502470645,1.4796751790187677,0.022588096314589558
normalized,135.58418879962966,1.4893426266312435,0.02238344997722044,-3.0958611080352685,1.6492422502470645,1.4894940512888704,0.02123969266163174
normalized,149.11880880580802,1.499024887569937,0.020923043121852357,-3.0864821191657223,1.6492422502470645,1.4989274344628907,0.01994997894307669
normalized,164.00451510260368,1.5082407105161293,0.019546796656599006,-3.078084680504053,1.6492422502470645,1.5079644167145139,0.01871940958200834
normalized,180.37617916508282,1.5169992479369638,0.018251011001885635,-3.0705535736202543,1.6492422502470645,1.5165992427188524,0.017547873017197135
normalized,198.38213594204598,1.5253111956043641,0.01703202121631864,-3.0637895869309535,1.6492422502470645,1.5248304674957878,0.016434790701519097
normalized,218.18552784017965,1.5331885247731178,0.01588621462589271,-3.0577067970846206,1.6492422502470645,1.5326602213746447,0.015379202792027096
normalized,239.9657828707157,1.5406442394634778,0.01481004567554004,-3.0522304108238743,1.6492422502470645,1.5400935728792957,0.014379842131952814
normalized,263.92024035129947,1.5476921576404907,0.01380004828800969,-3.047295031434536,1.6492422502470645,1.5471379778136864,0.013435197944058178
normalized,290.2659388926906,1.5543467149956842,0.012852845995779388,-3.0428432514130987,1.6492422502470645,1.5538028041486194,0.0125435704935429
normalized,319.2415828702861,1.5606227899840144,0.011965160091412842,-3.038824498985409,1.6492422502470645,1.5600989234882239,0.011703117835074448
normalized,351.1097051976295,1.566535548742915,0.011133816021519041,-3.0351940844560454,1.6492422502470645,1.5660383609440796,0.010911895630574757
normalized,386.15904599764036,1.5721003085154541,0.010355748229865566,-3.0319124055274966,1.6492422502470645,1.5716339961798989,0.010167890910508825
normalized,424.70716872344224,1.5773324182118484,0.009628003636585785,-3.0289442803074884,1.6492422502470645,1.5768993092222616,0.009469050550075995
normalized,467.10333743207104,1.5822471547694423,0.008947743923015877,-3.0262583837911587,1.6492422502470645,1.5818481653739267,0.0088133051415681
normalized,513.73168128051,1.5868596340083472,0.008312246775485891,-3.023826768885065,1.6492422502470645,1.5864946342255535,0.008198588864029327
normalized,565.0146749158698,1.5911847347253052,0.007718906226530677,-3.0216244570292465,1.6492422502470645,1.5908528383479152,0.007622855880156612
normalized,621.4169662936798,1.5952370348211313,0.007165232218212018,-3.0196290865196014,1.6492422502470645,1.594936827767772,0.007084093727155369
normalized,683.4495866061161,1.599030758314611,0.006648849499719379,-3.0178206089808675,1.6492422502470645,1.5987604767934296,0.006580334112152484
normalized,751.6745804640927,1.6025797321572086,0.006167495959885257,-3.016181026267005,1.6492422502470645,1.6023374001669752,0.0061096614729968
normalized,826.7100982848317,1.605897351826867,0.00571902048477487,-3.0146941614986558,1.6492422502470645,1.605680885884818,0.005670219621158183
normalized,909.2359970243324,1.6089965547445133,0.005301380420899517,-3.0133454590799102,1.6492422502470645,1.6088038423515156,0.005260216744353151
normalized,1000.0,1.6118898006226294,0.004912638715823854,-3.0121218094387827,1.6492422502470645,1.6117187578184267,0.0048779290119277865
