gain,delta,supplied_comparison_rate,in_supplied_comparison_range,assurance,stationary_time,fast_time,stationary_height,gamma,gap_below_gamma,logarithmic_time
10,1,274877906944,False,stationary numerical witness; no new interval/global certification,0.152378425996512614747095446320962162629904187179150353399284476609354294390213706194395833991411100186,1.52378425996512614747095446320962162629904187179150353399284476609354294390213706194395833991411100186,1.27534138799153923095949838310086070976933033245294384917784236349059475533919787928914253752625848872,1.64924225024706421992856394238963081005887969014944817375945342923798173853504863743514546032427371867,0.373900862255524988969065559288770100289549357696504324581611065747386983195850758146002922798015229955,0.505611191380865409178450004632817882452759838965816369017477744697445277337957708013315883862428363413
50,1,274877906944,False,stationary numerical witness; no new interval/global certification,0.0491588115561358346817521247235969771671637624771912960587688049877008358443375667159786665879859217512,2.45794057780679173408760623617984885835818812385956480293844024938504179221687833579893332939929608756,1.42401751024713076816331199833132380675255542311837071216440010547478842723465724651429210494436927455,1.64924225024706421992856394238963081005887969014944817375945342923798173853504863743514546032427371867,0.225224739999933451765251944058307003306324267031077461595053323763193311300391390920853355379904444126,2.11504910381496578377920933785900552197836119323433409093012563617162426504561547264344976195560797421
100,1,274877906944,False,stationary numerical witness; no new interval/global certification,0.0301980580841638058903005740190569204125901457609471117369558788079950068007505632790896944411830701443,3.01980580841638058903005740190569204125901457609471117369558788079950068007505632790896944411830701443,1.49780241955295373286258324258381024134757696908485283905332832916239463278353237678769652733433849518,1.64924225024706421992856394238963081005887969014944817375945342923798173853504863743514546032427371867,0.151439830694110487065980699805820568711302721064595334706125100075587105751516260647448932989935223491,2.80819628437491109319644145931718209005386132759458934505080564566501788701531018824931308895202666175
1000,1,274877906944,False,stationary numerical witness; no new interval/global certification,0.00514749468073565238464331204822291551941915653535223317209380716526734687098542846799112402265644004895,5.14749468073565238464331204822291551941915653535223317209380716526734687098542846799112402265644004895,1.62001076419752202192903008359601297474853324428730256863504111518073382819242988595097414037414184832,1.64924225024706421992856394238963081005887969014944817375945342923798173853504863743514546032427371867,0.0292314860495421979995338587936178353103464458621456051244123140572479103426187514841713199501318703538,5.1107813773689567772144329140015462976549628162233623210841335466325904966926626684853102940416249601
100000,1,274877906944,False,stationary numerical witness; no new interval/global certification,0.0000971665680016737216788517293211410213906119645056292566039204355091110997199212660068366375372885553618,9.71665680016737216788517293211410213906119645056292566039204355091110997199212660068366375372885553618,1.64865970254783658492571311243163480674066244884429695096698213588650841724786841218533454022832010858,1.64924225024706421992856394238963081005887969014944817375945342923798173853504863743514546032427371867,0.000582547699227635002850829957996003318217241305151222792471293351473321287180225249810920095953610097756,9.71595156335704814525041582337027471285716579348090827315078934856773571604736762895730470422082155678
274877906944,1,274877906944,True,stationary numerical witness; no new interval/global certification,0.0000000000892855276481747325962068501347401652772591759637512183458482548264995812320917439276019856687649184099,24.5426189603209133180322300787124610127016277299341289136367021989433507551698832538020556897283848501,1.64924224969582718168292372395638380226820391082892222094119930923599026541283136362815303958528362057,1.64924225024706421992856394238963081005887969014944817375945342923798173853504863743514546032427371867,0.000000000551237038245640218433247007790675779320525952818254120001991473122217273806992420738990098101535415932,24.5426189596647414830152791653591632617206634560267430495699902044788303025090044208001251046367401917
