gain,delta,supplied_comparison_rate,in_supplied_comparison_range,assurance,stationary_time,fast_time,stationary_height,gamma,gap_below_gamma,logarithmic_time,direction_error,comparison_112L_over_r,comparison_to_error_ratio,scaled_direction_error
50,0,34359738368,False,stationary numerical witness; no new interval/global certification,0.0436519595706382985383310772939897581468513159675471284192712003314816739595812158268900255159847271058,2.18259797853191492691655386469948790734256579837735642096356001657408369797906079134450127579923635529,1.35958832177265995652140248693903314270108874162811900635202663801860507044901030921139238001171127126,1.64924225024706421992856394238963081005887969014944817375945342923798173853504863743514546032427371867,0.289653928474404263407161455450597667357790948521329167407426791219376668086038328223753080312562447411,1.8821967383737951328831936481575187187684105008682115873227245206604082929686461778718609555399731684,0.204672853701805488431341934716009596348043379779053499161162408369565762760706695463418179272324890993,4.21612069395730109765835377187284193004123952194479395560290292627931457624976743843296854040953989723,20.5993155306267627018201139418117493227117840063106166294505994428931967643061448003314757447236792127,5.43707385973480667867982783150897526209258239577925286614680436085819953827588560864729748307813886519
100,0,34359738368,False,stationary numerical witness; no new interval/global certification,0.027664331949501993445541497982434942782765368751900699375622249432142692378609721768526949923349516186,2.7664331949501993445541497982434942782765368751900699375622249432142692378609721768526949923349516186,1.45516122778278928430058156094069451934679228614162277110131595616212126183711419790245945250520387798,1.64924225024706421992856394238963081005887969014944817375945342923798173853504863743514546032427371867,0.194081022464274935627982381448936290712087404007825402658137473075860476697934439532686007819069840692,2.57534391893374044230042576961569528684391063522846684144340453015380191493834089347772428253639185595,0.108571207714888232317380487145764844877355399739778990412578222162984824874824963503529918733136879819,2.88438518920578929537647686196957872126517991145588286241661307377225814473094180069505119644075887866,26.5667597322881875298706959989655035897925419115226591703159539640645258715391355127746313128675859121,4.21579451647916385017478068153264111369990888503138745847171078149895006966982595933300559988501196033
1000,0,34359738368,False,stationary numerical witness; no new interval/global certification,0.00491263871582381732643412841889243879229324435426966414702394166031059644481513461394072783313029149425,4.91263871582381732643412841889243879229324435426966414702394166031059644481513461394072783313029149425,1.61188980062262900144126688259185520538129349341606073379078065085982310988697450846266769941771096428,1.64924225024706421992856394238963081005887969014944817375945342923798173853504863743514546032427371867,0.0373524496244352184872970597977756046775861967333874399686727783781586286480741289724777609065627543931,4.87792901192778612631841722430005949444501212385723981747673243112137452461569337371372148762599015429,0.0132144471857767231039594309946259379825345203061174177017922506186077900214513751756677762649989917573,0.54632804933591204614766272912160666337784135787201085955739403228559394675695765785593680661411089728,41.3432390818397899677465222330178630179085943123861998143401916000137639562687965310833123646840713994,2.70902818664724605123667643642086304635434917019866009354657453456802188908615564274471104822596513184
10000,0,34359738368,False,stationary numerical witness; no new interval/global certification,0.000718566087214711400172745517042087633551850208242841845855520385081016687418970402676252720302454367907,7.18566087214711400172745517042087633551850208242841845855520385081016687418970402676252720302454367907,1.643667417008599012832880830264143300191764401747009601375898758365572532324520639291972989295958307,1.64924225024706421992856394238963081005887969014944817375945342923798173853504863743514546032427371867,0.00557483323846520709568311212548750986711528840243857238355467087240920621052799814317247102831541166884,7.18051410492183181033640867898442370204611361248601279351006033208894713429304585394971869271558845263,0.00161536317113819024015857548706160659138275775731142020427510697323921993235938024114981191388503659108,0.0804217579751245162757677772046255454629164724598433432873126757193962079040821135642368493584145906695,49.7855586978989246517099578544930832471784859418393156382670126135070183928201036447975658158442136443,2.2496483504307179883352667805137316285165679815059144356693245776091588327464172909488345908454733497
34359738368,0,34359738368,True,stationary numerical witness; no new interval/global certification,0.000000000646987611465065461470178579438938335006250896294841827809857964467007380962232372027065207808432595671,22.2303250572768864281085206237598254225003164412562657914896261103274141777872083920700023551732946514,1.64924224514543399149369303929176819714327349477614412298358442993268482676035351667984163453793170869,1.64924225024706421992856394238963081005887969014944817375945342923798173853504863743514546032427371867,0.00000000510163022843487090309786261291560619537330405077586899930529691177469512075530382578634200998356239068,22.2303250525437349038675671112831467542842123605798547836005490604874334645229509792109463172318493232,0.0000000010857979434962713121210717903365808252654848934840524385310267238687184347011521290377256342817980973,0.0000000724626124686590136620555863617835693433831848781830554293486491886023591513096619651078359319935297885,66.7367376248008652879866073766561763350974875121900086491137011655132309595161260439562743696068647983,1.67823606586334381153631026003841753763131140827809689382153869269656020767037730724664786886896546776
