metric,gain,peak_witness,time_witness,alpha,gamma,predicted_peak,predicted_time
normalized,0.21,5.496164182292524,1.9205781086033271,-0.10072454445828191,1.6492422502470645,nan,nan
normalized,0.23096313903900584,5.195990679987583,1.8236167257170839,-0.11077086614210246,1.6492422502470645,nan,nan
normalized,0.25401891235595786,4.910644148808261,1.7310972893380832,-0.12181824503410316,1.6492422502470645,nan,nan
normalized,0.2793762160619339,4.639477503397055,1.6428004702854728,-0.1339662179616794,1.6492422502470645,nan,nan
normalized,0.3072647992119228,4.381877090351641,1.5585151819181275,-0.14732417094656858,1.6492422502470645,nan,nan
normalized,0.33793734543893106,4.1372616475682955,1.4780379042995724,-0.16201230256058147,1.6492422502470645,nan,nan
normalized,0.354,4.022429947297385,1.440085764376627,-0.16970283338303765,1.6492422502470645,nan,nan
normalized,0.3716717623861161,3.905081405975691,1.4011719958197533,-0.17816267872684885,1.6492422502470645,nan,nan
normalized,0.40877369968027083,3.684817343968243,1.3277269879595666,-0.19592038690150557,1.6492422502470645,nan,nan
normalized,0.449579318260682,3.475980607043188,1.2575178598837786,-0.21544479803625655,1.6492422502470645,nan,nan
normalized,0.4944583361547778,3.2781121073632464,1.1903642916893782,-0.23691094513598732,1.6492422502470645,nan,nan
normalized,0.5438173782967212,3.0907823199399966,1.1260898992142383,-0.26051102754937416,1.6492422502470645,nan,nan
normalized,0.5981036607398725,2.913591293356603,1.0645214605943158,-0.2864560503101975,1.6492422502470645,nan,nan
normalized,0.6578090426438169,2.746168892510865,1.005488157244415,-0.31497760780573014,1.6492422502470645,nan,nan
normalized,0.7234744827488534,2.588175287177537,0.94882087272009,-0.3463298206766138,1.6492422502470645,nan,nan
normalized,0.7956949407156964,2.4393016905816878,0.8943516266666743,-0.38079143399347126,1.6492422502470645,nan,nan
normalized,0.8751247677388234,2.299271332217486,0.8419132745681134,-0.4186680831844079,1.6492422502470645,nan,nan
normalized,0.9624836352749502,2.167840611744577,0.7913396865334813,-0.4602947315796043,1.6492422502470645,nan,nan
normalized,1.046,2.0597847473397795,0.7485113032826176,-0.5000593175576165,1.6492422502470645,nan,nan
normalized,1.0585630556036956,2.0448003150125187,0.7424667410342174,-0.506038279320802,1.6492422502470645,nan,nan
normalized,1.1642335532997679,1.9299766632563042,0.6951346419615884,-0.5563003370573504,1.6492422502470645,nan,nan
normalized,1.2804525525935717,1.8232317916918122,0.6491922876671377,-0.6115201482792014,1.6492422502470645,nan,nan
normalized,1.4082730520834241,1.7244629931903375,0.6045046513057594,-0.6721776297565558,1.6492422502470645,nan,nan
normalized,1.5488531653963284,1.6335997100085755,0.5609642524957491,-0.7387964779756944,1.6492422502470645,nan,nan
normalized,1.703466614240174,1.5505968554106913,0.5185075357065053,-0.8119472569705637,1.6492422502470645,nan,nan
normalized,1.873514268919323,1.475422756681476,0.477135836034932,-0.8922503336922849,1.6492422502470645,nan,nan
normalized,2.060536840876071,1.4080401852879825,0.43693803567249323,-0.9803784516117688,1.6492422502470645,nan,nan
normalized,2.266228842258352,1.3483801254573613,0.398107938647028,-1.0770586161450544,1.6492422502470645,nan,nan
normalized,2.4924539389939095,1.296310577274499,0.36094548473178933,-1.1830727807568806,1.6492422502470645,nan,nan
normalized,2.74126183647699,1.2516064134810683,0.3258312866324461,-1.299256525557634,1.6492422502470645,nan,nan
normalized,3.0149068508597883,1.213929199815397,0.29317261424222646,-1.4264944319264736,1.6492422502470645,nan,nan
normalized,3.315868334213241,1.182825179655054,0.26333356275092334,-1.5657100336069574,1.6492422502470645,nan,nan
normalized,3.6468731386187123,1.1577442898366215,0.2365720115344754,-1.71784679741353,1.6492422502470645,nan,nan
normalized,4.010920322725757,1.1380757632976575,0.21300200747665057,-1.883834032280467,1.6492422502470645,nan,nan
normalized,4.411308324628968,1.123190933974808,0.19258639414296017,-2.064526892717435,1.6492422502470645,nan,nan
normalized,4.851664847262878,1.1124833833971832,0.17515301996548338,-2.2606005428182185,1.6492422502470645,nan,nan
normalized,5.335979727090632,1.1053993812400773,0.1604248194327044,-2.472360376817994,1.6492422502470645,nan,nan
normalized,5.868641083892144,1.1014554379699009,0.14805622824899803,-2.6993926765274936,1.6492422502470645,nan,nan
normalized,6.4544750791857295,1.1002432468949992,0.13767064274328844,-2.939901398740959,1.6492422502470645,nan,nan
normalized,6.5,1.1002523748218458,0.13697176274654305,-2.958103632306085,1.6492422502470645,nan,nan
normalized,7.098789643513201,1.1014247227010103,0.12889443112295443,-3.189418865348517,1.6492422502470645,nan,nan
normalized,7.807422568778064,1.1047209962886457,0.12138361691472882,-3.4383426870616423,1.6492422502470645,1.7778069913975594,0.0032339258321818476
normalized,8.586794401376002,1.109899142503988,0.11484092888206314,-3.6680030658764915,1.6492422502470645,1.678161418722301,0.01402143986589448
normalized,9.443966615354107,1.1167594792658029,0.10902316795411683,-3.84901956330581,1.6492422502470645,1.595545178417968,0.02282407656979766
normalized,10.0,1.1216194418690109,0.10579299869915126,-3.92278265498406,1.6492422502470645,1.5531105346951537,0.027275882593969514
normalized,10.386705592675044,1.1251250456061122,0.10374074960166195,-3.9562615066676106,1.6492422502470645,1.527687860350955,0.029913278102570846
normalized,11.423552990277267,1.134833804554398,0.09885215888567855,-3.9962107275620884,1.6492422502470645,1.4725909079967567,0.03552756389543635
normalized,12.563903131489807,1.1457334312537129,0.09425594155496651,-3.9975710737398304,1.6492422502470645,1.4284969732717399,0.039876270880427625
normalized,13.818088123004198,1.1576782222796644,0.08988219122546727,-3.9828011695256014,1.6492422502470645,1.3938625947628207,0.0431428859833391
normalized,15.197471468603108,1.1705275827356945,0.08568471958537349,-3.9628619320823293,1.6492422502470645,1.3673338485233535,0.04548801408434595
normalized,16.714551027830023,1.1841455942575485,0.08163446368002908,-3.9422804072969626,1.6492422502470645,1.3477246569108012,0.04705202016569678
normalized,18.383072252453637,1.1984012589881812,0.07771426399911897,-3.922788594307547,1.6492422502470645,1.3339974735484446,0.04795738034028115
normalized,20.21815272670256,1.2131691107652398,0.07391491414526176,-3.9049676764428174,1.6492422502470645,1.3252460917721272,0.04831077284105823
normalized,22.236419139663138,1.2283299696485617,0.07023228123756163,-3.8889286057036614,1.6492422502470645,1.3206803502093338,0.048204936807714344
normalized,24.456157930874422,1.2437716861335884,0.06666527325411335,-3.8745946281779524,1.6492422502470645,1.3196125327337578,0.047720323796066756
normalized,26.897480974040167,1.2593897776862961,0.0632144470039488,-3.861820939995153,1.6492422502470645,1.321445281215787,0.04692656432396183
normalized,29.582507800029784,1.275087904040195,0.05988108434376564,-3.850445878299989,1.6492422502470645,1.325660858492676,0.04588376942441746
normalized,32.53556601019407,1.2907781603513677,0.05666660123607033,-3.650952306463615,1.6492422502470645,1.3318116160317368,0.0446436850752576
normalized,35.78341169583428,1.3063811901468037,0.053572187787597994,-3.5256163735868675,1.6492422502470645,1.3395115360537984,0.0432507154899456
normalized,39.35547186092839,1.3218261345345,0.050598605061950346,-3.4441412795832864,1.6492422502470645,1.3484287316006889,0.041742829564669556
normalized,43.28411104457755,1.337050442054807,0.0477460859372069,-3.3826482683728787,1.6492422502470645,1.3582788003299409,0.040152363262115985
normalized,47.604924558897785,1.3519995665577877,0.04501430328171725,-3.3334718009753437,1.6492422502470645,1.3688189388465448,0.03850672935493145
normalized,50.0,1.3595883217726596,0.043651959570638374,-3.311620518805254,1.6492422502470645,1.3744572690448214,0.037643934767475906
normalized,52.35706099922902,1.3666265801688045,0.0424023802912033,-3.2928803930147086,1.6492422502470645,1.3798427342651112,0.03682904473556227
normalized,57.58357694875544,1.3808917260693576,0.039908926009891016,-3.2586927872187497,1.6492422502470645,1.3911755585528982,0.03513868440954262
normalized,63.33182709132713,1.3947619324726195,0.03753208474366932,-3.229491572582315,1.6492422502470645,1.4026704991397585,0.03345177031339453
normalized,69.65389326708787,1.4082103055082227,0.03526959197401461,-3.2042897246317423,1.6492422502470645,1.4142047663894164,0.03178160222444383
normalized,76.60705635835471,1.4212156151850455,0.03311883203035318,-3.182365628103403,1.6492422502470645,1.4256765248924503,0.030139037247557836
normalized,84.25431528125542,1.433761785413406,0.031076894561754467,-3.16317234055678,1.6492422502470645,1.437002101241099,0.028532823663654092
normalized,92.66495778543253,1.4458373963416835,0.029140628039361065,-3.1462836625491173,1.6492422502470645,1.4481135260480333,0.026969894298345242
normalized,100.0,1.4551612277827872,0.027664331949502553,-3.1341926501282,1.6492422502470645,1.4568182023262797,0.02575343918933741
normalized,101.91518823352597,1.4574352050121937,0.027306689308409345,-3.1313601226265138,1.6492422502470645,1.4589563725370975,0.025455624008670342
normalized,112.08881804841101,1.4685516885332874,0.02557158872350595,-3.118126491736718,1.6492422502470645,1.4694878581190043,0.023994055384683296
normalized,123.27802508396658,1.4791866125421413,0.023931730731892316,-3.106356342623273,1.6492422502470645,1.4796751790187677,0.022588096314589558
normalized,135.58418879962966,1.4893426266312435,0.02238344997722044,-3.0958611080352685,1.6492422502470645,1.4894940512888704,0.02123969266163174
normalized,149.11880880580802,1.499024887569937,0.020923043121852357,-3.0864821191657223,1.6492422502470645,1.4989274344628907,0.01994997894307669
normalized,164.00451510260368,1.5082407105161293,0.019546796656599006,-3.078084680504053,1.6492422502470645,1.5079644167145139,0.01871940958200834
normalized,180.37617916508282,1.5169992479369638,0.018251011001885635,-3.0705535736202543,1.6492422502470645,1.5165992427188524,0.017547873017197135
normalized,198.38213594204598,1.5253111956043641,0.01703202121631864,-3.0637895869309535,1.6492422502470645,1.5248304674957878,0.016434790701519097
normalized,218.18552784017965,1.5331885247731178,0.01588621462589271,-3.0577067970846206,1.6492422502470645,1.5326602213746447,0.015379202792027096
normalized,239.9657828707157,1.5406442394634778,0.01481004567554004,-3.0522304108238743,1.6492422502470645,1.5400935728792957,0.014379842131952814
normalized,263.92024035129947,1.5476921576404907,0.01380004828800969,-3.047295031434536,1.6492422502470645,1.5471379778136864,0.013435197944058178
normalized,290.2659388926906,1.5543467149956842,0.012852845995779388,-3.0428432514130987,1.6492422502470645,1.5538028041486194,0.0125435704935429
normalized,319.2415828702861,1.5606227899840144,0.011965160091412842,-3.038824498985409,1.6492422502470645,1.5600989234882239,0.011703117835074448
normalized,351.1097051976295,1.566535548742915,0.011133816021519041,-3.0351940844560454,1.6492422502470645,1.5660383609440796,0.010911895630574757
normalized,386.15904599764036,1.5721003085154541,0.010355748229865566,-3.0319124055274966,1.6492422502470645,1.5716339961798989,0.010167890910508825
normalized,424.70716872344224,1.5773324182118484,0.009628003636585785,-3.0289442803074884,1.6492422502470645,1.5768993092222616,0.009469050550075995
normalized,467.10333743207104,1.5822471547694423,0.008947743923015877,-3.0262583837911587,1.6492422502470645,1.5818481653739267,0.0088133051415681
normalized,513.73168128051,1.5868596340083472,0.008312246775485891,-3.023826768885065,1.6492422502470645,1.5864946342255535,0.008198588864029327
normalized,565.0146749158698,1.5911847347253052,0.007718906226530677,-3.0216244570292465,1.6492422502470645,1.5908528383479152,0.007622855880156612
normalized,621.4169662936798,1.5952370348211313,0.007165232218212018,-3.0196290865196014,1.6492422502470645,1.594936827767772,0.007084093727155369
normalized,683.4495866061161,1.599030758314611,0.006648849499719379,-3.0178206089808675,1.6492422502470645,1.5987604767934296,0.006580334112152484
normalized,751.6745804640927,1.6025797321572086,0.006167495959885257,-3.016181026267005,1.6492422502470645,1.6023374001669752,0.0061096614729968
normalized,826.7100982848317,1.605897351826867,0.00571902048477487,-3.0146941614986558,1.6492422502470645,1.605680885884818,0.005670219621158183
