gain,height_error_pct,correction_error_pct,time_error_pct,sensitivity_error_pct,projection_error_pct,R_G,R_t,R_D
10,38.4703649668489146131128773211660273635235037225148551156511909506242112675348339152724889656418309,448.8540440050090010072331019925685669638728117178692913320673298059479553002229248875577368223454703,74.21768649215127744063693273797094800269471022820580602390950665448193120861548667463129845805422785,879.7227437875351904621081778950477249168379539972788336677097181931329687931822364051915412021936825,47.04116108212678060675661809944285175473440468609710562262430686406257108884721498349768840013346476,-579.9815927431983663497092342802394850190487485176053456504971606429078966643100221512121229388611905,28.78627880680984111589698764464134239611111001361710155507641316951155513346331130164126655904200357,1058.236137817941803658795674860579691650678518716236542089980691516862745053151067800296126183706415
25,5.806520543496653847399542176879024875560930456644173605241772060554517707863290199246047649149869765,21.98517463055912948740640516841171182610294681533583928315976959350778226022892202195777243755344002,27.78019958603691978022423381323610090205173273024853546782093936760689755534701279680912746601858238,92.75364441271609006311242040810014101673992213814638427067840586097158772018590213817801742262249127,32.21759364648515510243947825046931582716667525010720752730619567846003582035643781208428980312929985,-32.01778441242193730511961975366102747784153954412397348985135760563715136774909338877967217106255344,9.616545402646202821841931727312371733943018410690001967423243933867579693945273337957571244942325089,67.15759011406099734078310829243086463997323931241564645130911130436681055884272944549325026127818316
30,3.840127696001533594242231943423072550054277266129246999930931933026250934544118799404566555292138905,15.19696536877558473415768258710609125620257712631073950276318860800728992458434749185457631683059694,23.04333565732580084187479407186800521303983204637320893425631360224005295336077754308870015730176603,64.7766063115353491042961735801504886376878858990966905575492294446587109847237668318940269912965035,29.10917057933694263477775289225802200297254562713019649083745217458334044017034569388078288195251441,-23.47499677656864568400645128720977994375489587647506537624708432469515614256455128722585826519622222,8.982978610423380928711298724134113465240685107865052717209632856960083300188539941981772939598784474,51.16862941097751685928725018297649014586367090784478143089330780088725985227414490917092375401080133
50,1.09363599510584397223825666734964973981278413207432231169018715897648840291603818665646793467491505,5.411120799654498276290548088537497560267921032019824903174108160613138941931527542243411241431093357,13.76347101540794322318262411767614879992232626549582158028436368834647339934286588565816384007920598,24.52251890327749802565766682857772586047076647082994118210139568113198283146157299691194508398218984,21.3045319554339328620356198796275297000318950102714059801229708285684885880812500435235963777250903,-10.49277105704730952867861655113455486645028590735383103598565634925772375224673281650147705816542123,7.980070149777869989919504830956956870097281526336038495590267504821029422836713506562795547880622423,26.59537867326280060378349239398863251316896417451478909023717665167264429728453435277431727116565936
75,0.3365381368161317973089560556173932331947301194682162327594490881575016051492395604945432762188884477,2.111040399025478754612439981248874401615817647556416954430903459298959164379179672492900075546916698,9.188758757584408156418498128757534463248396108747573306222207124715076467676672168909721288954213891,11.16349722795308208231084617276299941760509224876979507770344011155501844169163729024909283383402505,16.27835227601915998169081520074304172501294861129865124856152303382575026010739253221583358625050451,-5.130488726442451931892187992718005814594553777923917051136737102863579259348155469467537342267566159,7.588894253511680561969180433338854344964494447627289417681197693045174308426036874286905411430934825,16.24222224916401482677035084180296866940078550157704012939983799450048309837901219773929471784485476
100,0.1138687941826810452387215556660011711361551328923493178721957863082718262812899103169571382620400893,0.8611057512792193631485375921011511801063215563032899881187335608410513849768431083514098249808511176,6.907424201143553903181052622484797076611011904886950968825183728793574909051063533459408404171466422,6.098834160784886023668444181833325020233328978638973288140800320170164151981252148708240489241853407,13.33742397466112598343704870886699518877116609472796904901401348962494017042438406124340376025415241,-2.498304486559471043732533592901208752908775301958305982317095841454900308291711532259374562606363125,7.419951743593719587420707261715391193431566447932699070383680601599533715079618105719135582543048538,11.06879196787972870408894891292348355165233959728576839250294542448020132585967919291035735777159823
125,0.02925070739410623608007305267297552345013593023179054826800555622352242455611636952684088693601990123,0.2576340817488364123008410257714047300736034815513426424686908573639964159662640546762840092583776366,5.53788090532416297263220956239118371276408367173840432492476597753678863661096398784298652279656071,3.60790221571333639764557197877042167729772526704041213493214493609487974703367497300800394594415674,11.38283684613420909197749581644854308915954385311818819163745457493577721120875856878149536936314823,-0.8641235538179548333207851118775470185146412678132378445549407836539642537789620685876661449535034459,7.328176837444426750678821250201599274929791130024263165997912952894012859380870451437639481412179803,7.811000570682661751762719903340253037107069338590337740548216804825299339993685228826773743346837211
140,0.003933890299042632171055896471955865614085482386609239674189910194615659204026828897632082866057962355,0.03751394837520599679117360383153002659857722140753905188063546564059941500234564176465613426771262007,4.950314960628150512369001400369700031058810773671231760603604792011100155226771344156470458158174514,2.676115071509348707312983801612155545541519106005443797937407125559787596858585023890952867973078345,10.49040750725014121643920854688358910076579075200632822000616335110956482521065659219948862197281894,-0.1357407643721806700071872687989534675277733122845669578865475587563554547507092754163140082858082442,7.291387595875416701810991296839022319686995268575088506074789954837075308652444429323512435400493567,6.344814394504226061402880188005238113406650394074418907929369625310889785387835673275025309344690435
150,0.007361444862477670440558970263665986106134672496564111837089038141750961164722026780090252985276283697,0.07372125978768303687315391874286193938103583703952942565129898420074764301670590002344159253338893368,4.623649186894221922429810224735953677536337242029288167242222631643739970225212233391251818405712454,2.195925961339672785907432686652109358037101252382185992776298860836525879644804360721572645955910675,9.978150039448296693331923873816849763653424783583695110709526377802135458968945559329108765362347016,0.279547310354798871069544710029891046764991571458964475492747530698344893388075997263131827278567903,7.271691274844121172517758195058615992192269497321571562069305990567475793786602534131145559550881339,5.504465941234072571578599224354303259195542481078185434900066923680630986545593643995093789595334416
160,0.01565060519659910848272041707253422789916302193757146383074779555094635521440508628937403046822480728,0.1641379920689295518854213325285843762922587821906258812846803764816645773956878678759046580616629036,4.337646850918742447381519051969518019924027893275467177921271884200855640480124280609831389105963189,1.798657661745592821045543550451827357443783188882135503436883644981314301970132865692073696680219779,9.519378426976924556104562066557016058527745698889690765150792737174909037558660927796252460884567791,0.6505652419934559671260015359520602508779758274148509705923015215811687587247956029211790013550150509,7.25492812272164143392796457428011957604468148224845533063284384326322618074203452465131372941905895,4.750815876140189561503179162571698959688991910606287716067205956503065927047441826493407744822449321
