time,fast_time,norm_witness
0.0,0.00,1.0
1e-09,1.00E-8,1.0000000017649644
1.138282345254033e-09,1.13828234525403300E-8,1.0000000020090278
1.2956866975170216e-09,1.295686697517021600E-8,1.0000000022868407
1.4748572927641222e-09,1.474857292764122200E-8,1.0000000026030702
1.6788040181225589e-09,1.678804018122558900E-8,1.0000000029630294
1.9109529749704403e-09,1.910952974970440300E-8,1.0000000033727638
2.1752040340195246e-09,2.175204034019524600E-8,1.0000000038391577
2.4759963492497776e-09,2.475996349249777600E-8,1.0000000043700454
2.8183829312644493e-09,2.818382931264449300E-8,1.0000000049743456
3.208115532823633e-09,3.20811553282363300E-8,1.0000000056622096
3.651741272548377e-09,3.65174127254837700E-8,1.0000000064451933
4.156712619977313e-09,4.15671261997731300E-8,1.0000000073364497
4.731512589614813e-09,4.73151258961481300E-8,1.0000000083509513
5.38579724710571e-09,5.3857972471057100E-8,1.0000000095057402
6.130557921498202e-09,6.13055792149820200E-8,1.0000000108202163
6.978305848598663e-09,6.97830584859866300E-8,1.0000000123164616
7.943282347242822e-09,7.94328234724282200E-8,1.0000000140196108
9.041698059234518e-09,9.04169805923451800E-8,1.0000000159582754
1.0292005271944286e-08,1.029200527194428600E-7,1.0000000181650233
1.171520789831559e-08,1.17152078983155900E-7,1.0000000206769253
1.333521432163324e-08,1.33352143216332400E-7,1.000000023536179
1.5179239032493855e-08,1.517923903249385500E-7,1.0000000267908173
1.7278259805078625e-08,1.727825980507862500E-7,1.0000000304955148
1.966753809283339e-08,1.96675380928333900E-7,1.0000000347125062
2.2387211385683378e-08,2.238721138568337800E-7,1.0000000395126325
2.5482967479793465e-08,2.548296747979346500E-7,1.0000000449765325
2.900681198693156e-08,2.90068119869315600E-7,1.0000000511959928
3.301794197682718e-08,3.30179419768271800E-7,1.0000000582754949
3.7583740428844434e-08,3.758374042884443400E-7,1.0000000663339672
4.278090819876377e-08,4.27809081987637700E-7,1.0000000755067844
4.869675251658631e-08,4.86967525165863100E-7,1.0000000859480396
5.54306536608351e-08,5.5430653660835100E-7,1.0000000978331371
6.30957344480193e-08,6.3095734448019300E-7,1.0000001113617332
7.182076058301709e-08,7.18207605830170900E-7,1.0000001267610958
8.175230379436493e-08,8.17523037943649300E-7,1.000000144289919
9.30572040929699e-08,9.3057204092969900E-7,1.000000164242669
1.0592537251772897e-07,0.000001059253725177289700,1.0000001869545325
1.2057298145138763e-07,0.000001205729814513876300,1.0000002128070464
1.3724609610075625e-07,0.000001372460961007562500,1.000000242234508
1.562248081465289e-07,0.00000156224808146528900,1.000000275731268
1.7782794100389227e-07,0.000001778279410038922700,1.0000003138600402
2.0241840573760632e-07,0.000002024184057376063200,1.0000003572613507
2.3040929760558494e-07,0.000002304092976055849400,1.0000004066642982
2.622708356468191e-07,0.00000262270835646819100,1.000000462898804
2.9853826189179574e-07,0.000002985382618917957400,1.0000005269095529
3.398208328942559e-07,0.00000339820832894255900,1.000000599771864
3.868120546330525e-07,0.00000386812054633052500,1.0000006827097523
4.4030133272024213e-07,0.000004403013327202421300,1.0000007771164943
5.011872336272725e-07,0.00000501187233627272500,1.000000884578033
5.704925797046315e-07,0.00000570492579704631500,1.0000010068996201
6.493816315762114e-07,0.00000649381631576211400,1.00000114613614
7.391796465554602e-07,0.00000739179646555460200,1.0000013046266376
8.413951416451965e-07,0.00000841395141645196500,1.0000014850336023
9.577452351172415e-07,0.00000957745235117241500,1.0000016903877051
1.0901844923851266e-06,0.00001090184492385126600,1.0000019241387061
1.2409377607517195e-06,0.00001240937760751719500,1.0000021902134104
1.4125375446227554e-06,0.00001412537544622755400,1.0000024930816351
1.6078665490525633e-06,0.00001607866549052563300,1.0000028378312997
1.8302061063110567e-06,0.00001830206106311056700,1.0000032302539006
2.0832912989899973e-06,0.00002083291298989997300,1.0000036769418073
2.3713737056616552e-06,0.00002371373705661655200,1.0000041853990078
2.699292823154296e-06,0.0000269929282315429600,1.000004764167176
3.0725573652674518e-06,0.00003072557365267451800,1.0000054229691726
3.4974378036641803e-06,0.00003497437803664180300,1.0000061728723815
3.981071705534969e-06,0.0000398107170553496900,1.0000070264746492
4.531583637600818e-06,0.0000453158363760081800,1.0000079981159264
5.158221650723061e-06,0.0000515822165072306100,1.0000091041191865
5.8715126379251756e-06,0.00005871512637925175600,1.0000103630646595
6.683439175686149e-06,0.0000668343917568614900,1.0000117961019908
7.607640819262695e-06,0.0000760764081926269500,1.0000134273055825
8.659643233600654e-06,0.0000865964323360065400,1.0000152840790668
9.85711900900617e-06,0.000098571190090061700,1.000017397615733
