rate,dimension,a_iso,P,gamma,G,t,Ghat,that,EG_percent,Et_percent,denominator_policy,evaluation_digits
100,4,1,I4,sqrt(5),2.1188509113453361317357889553545730611042513634496672822761144072,0.043869579840863683044903490703601915695886942169932831051155369372,2.1157222033813374367162224171968784714614592791655658212001145977,0.043820266346738816122696878190588939118276018917095387383953679294,0.14766059977349532433482689035817200314206995858673465299479842648,0.11240931484584754576349447278524994152389147791738944971560112323,exact global height and exact global maximizing time,110
1000,4,1,I4,sqrt(5),2.2189499638184795552981051362492514135288245388904212616490825235,0.0066851110402716192772927514547865060211961894092066320750133133146,2.2188846632960321095295870691818653210545377699617361472979735396,0.0066846117276679272962876792737432581194287033803383117144286958304,0.0029428569148568532335258953533091487828968362768023523894795048478,0.0074690248327078452507015329336930477033068163360945757662906129262,exact global height and exact global maximizing time,110
10000,4,1,I4,sqrt(5),2.233835881617932705151428121896589426402957404914199648231158069,0.00089872468137870770995106415775188889260445282206017632913049672192,2.2338347724002227016301858613367380302031938324860274079070203307,0.00089871968206619729803056707284276223270298048689670846904620237314,0.000049655291112977021727556549184644718662692912167217521878036521878,0.00055626741025322892256375173648093204175917239230319186484469115629,exact global height and exact global maximizing time,110
